filename       ,  recv_packets,  lost_packets,  lost_rate(%),连续丢包,"丢包间隔<=3
（不包含连续丢包）"
af520505_all-stat/highq-statistics/2491026.dump.split2.73838-73862,25,101,79.84189723,,
af520505_all-stat/highq-statistics/2537158.dump.split1.9204-14544,5341,225,4.042037187,33%,10%
af520505_all-stat/highq-statistics/2537158.dump.split2.14586-15391,806,20,2.41984271,,
af520505_all-stat/highq-statistics/2515532.dump.split1.45384-52420,7037,97,1.359590721,,
af520505_all-stat/highq-statistics/2537158.dump.split0.1-9162,9162,121,1.303387731,50%,10%
af520505_all-stat/highq-statistics/2537158.dump.split3.15433-45223,29791,321,1.066002491,,
af520505_all-stat/highq-statistics/2537124.dump.split3.31801-48484,16684,166,0.985133972,,
af520505_all-stat/highq-statistics/2537158.dump.split4.45265-51679,6415,49,0.757985923,33%,10%
af520505_all-stat/highq-statistics/2488628.dump.split3.103422-104262,841,6,0.707964602,,
af520505_all-stat/highq-statistics/2488628.dump.split4.104304-105112,809,4,0.49170252,,
af520505_all-stat/highq-statistics/2491026.dump.split1.51821-73796,21976,92,0.416883794,30%,38%
test-class/test_video_15f.txt.split1.45814-67934,22121,85,0.38277081,,
test-class/test_video_15f.txt.split0.1-45772,45772,171,0.372196285,,
af520505_all-stat/highq-statistics/2488628.dump.split1.48460-97670,49211,180,0.364435176,33%,10
af520505_all-stat/highq-statistics/2537124.dump.split2.10287-31759,21473,70,0.324923991,,
af520505_all-stat/highq-statistics/2515532.dump.split0.1-45342,45342,142,0.312194264,,
test-class/online_video_15f.txt.split2.93098-158396,65299,195,0.297734924,1%,3%
af520505_all-stat/highq-statistics/2488628.dump.split6.111804-114044,2241,5,0.22256844,,
test-class/online_video_15f.txt.split0.1-27639,27639,54,0.194991605,1%,3%
test-class/online_video_15f.txt.split3.158438-177498,19061,35,0.183279659,,
test-class/online_video_15f.txt.split1.27681-93056,65376,118,0.1801678,,
af520505_all-stat/highq-statistics/2491026.dump.split4.117323-154394,37072,64,0.172337188,25%,17%
af520505_all-stat/highq-statistics/2488628.dump.split7.114086-116985,2900,5,0.17208742,,
af520505_all-stat/highq-statistics/2488628.dump.split5.105154-111762,6609,11,0.166150593,,
af520505_all-stat/highq-statistics/2515530.dump.split2.119511-146709,27199,44,0.161506414,,
af520505_all-stat/highq-statistics/2488592.dump.split3.61982-69078,7097,11,0.15474432,,
af520505_all-stat/highq-statistics/2515532.dump.split2.52462-117869,65408,95,0.145030418,20%,10%
af520505_all-stat/highq-statistics/2515530.dump.split1.54047-119469,65423,89,0.135851937,,
af520505_all-stat/highq-statistics/2551030.dump.split2.128766-192852,64087,84,0.130899231,,
af520505_all-stat/highq-statistics/2515530.dump.split0.1-54005,54005,70,0.129448641,15%,10%
af520505_all-stat/highq-statistics/2537124.dump.split1.257-10245,9989,12,0.119982003,,
af520505_all-stat/highq-statistics/2491026.dump.split0.1-51779,51779,60,0.115741857,,
test-class/test_video_8f.txt.split0.1-46213,46213,51,0.11023571,,
af520505_all-stat/highq-statistics/2488628.dump.split8.117027-141567,24541,27,0.109896819,,
af520505_all-stat/highq-statistics/2515532.dump.split3.117911-168450,50540,51,0.100807448,,
af520505_all-stat/highq-statistics/2551030.dump.split1.63259-128724,65466,58,0.088516509,,
af520505_all-stat/highq-statistics/2488628.dump.split2.97712-103380,5669,5,0.08811349,,
af520505_all-stat/highq-statistics/2515906.dump.split1.59492-124938,65447,53,0.080915413,,
test-class/test_video_8f.txt.split1.46255-74521,28267,22,0.07776737,,
af520505_all-stat/highq-statistics/2515906.dump.split2.124980-168737,43758,27,0.06166425,,
af520505_all-stat/highq-statistics/2488628.dump.split0.1-48418,48418,28,0.057795713,,
af520505_all-stat/highq-statistics/2488592.dump.split4.69120-127322,58203,33,0.056665493,,
af520505_all-stat/highq-statistics/2488592.dump.split2.8643-61940,53298,30,0.056255098,,
af520505_all-stat/highq-statistics/2491026.dump.split3.73904-117281,43378,23,0.05299356,,
af520505_all-stat/highq-statistics/2551030.dump.split0.1-63217,63217,32,0.050593285,,
af520505_all-stat/highq-statistics/2515908.dump.split0.1-42939,42939,21,0.048882113,,
af520505_all-stat/highq-statistics/2488592.dump.split5.127364-145521,18158,8,0.044037101,,
af520505_all-stat/highq-statistics/2515906.dump.split0.1-59450,59450,26,0.043714744,,
af520505_all-stat/highq-statistics/2515908.dump.split1.42981-108452,65472,23,0.035116916,,
af520505_all-stat/highq-statistics/2515908.dump.split2.108494-164413,55920,9,0.016091687,,
af520505_all-stat/highq-statistics/2488592.dump.split1.480-8601,8122,1,0.012309965,,
af520505_all-stat/highq-statistics/2488592.dump.split0.1-438,438,0,0,,
af520505_all-stat/highq-statistics/2537124.dump.split0.1-215,215,0,0,,
